trade_id,timestamp,resting_order_id,aggressor_order_id,aggressor_side,price,quantity,strategy_name,position_after,cash_after,equity_after
113,1700000162,1063,1000124,ASK,100.320000,1,MovingAverageCrossStrategy,6,999421.360000,1000023.280000
114,1700000163,1090,1000125,BID,100.080000,1,MovingAverageCrossStrategy,7,999321.280000,1000021.910000
115,1700000163,1106,1000125,BID,100.090000,1,MovingAverageCrossStrategy,8,999221.190000,1000021.910000
116,1700000164,1106,1000126,BID,100.090000,2,MovingAverageCrossStrategy,10,999021.010000,1000021.910000
117,1700000166,1063,1000127,ASK,100.320000,2,MovingAverageCrossStrategy,8,999221.650000,1000024.210000
118,1700000167,1063,1000128,ASK,100.320000,2,MovingAverageCrossStrategy,6,999422.290000,1000024.210000
119,1700000168,1106,1000129,BID,100.090000,2,MovingAverageCrossStrategy,8,999222.110000,1000022.830000
120,1700000169,1106,1000130,BID,100.090000,1,MovingAverageCrossStrategy,9,999122.020000,1000022.920000
121,1700000169,1088,1000130,BID,100.100000,1,MovingAverageCrossStrategy,10,999021.920000,1000022.920000
122,1700000171,1035,1000131,ASK,100.310000,2,MovingAverageCrossStrategy,8,999222.540000,1000025.020000
123,1700000172,1035,1000132,ASK,100.310000,2,MovingAverageCrossStrategy,6,999423.160000,1000025.020000
124,1700000173,1140,1000133,BID,100.080000,2,MovingAverageCrossStrategy,8,999223.000000,1000023.640000
125,1700000174,1142,1000134,BID,100.020000,2,MovingAverageCrossStrategy,10,999022.960000,1000023.160000
126,1700000176,1129,1000135,ASK,100.310000,2,MovingAverageCrossStrategy,8,999223.580000,1000026.060000
127,1700000177,1129,1000136,ASK,100.310000,2,MovingAverageCrossStrategy,6,999424.200000,1000026.060000
128,1700000178,1142,1000137,BID,100.020000,2,MovingAverageCrossStrategy,8,999224.160000,1000024.320000
129,1700000179,1142,1000138,BID,100.020000,2,MovingAverageCrossStrategy,10,999024.120000,1000024.320000
130,1700000181,1129,1000139,ASK,100.310000,2,MovingAverageCrossStrategy,8,999224.740000,1000027.220000
131,1700000182,1033,1000140,ASK,100.300000,2,MovingAverageCrossStrategy,6,999425.340000,1000027.140000
132,1700000183,1142,1000141,BID,100.020000,2,MovingAverageCrossStrategy,8,999225.300000,1000025.460000
133,1700000184,1142,1000142,BID,100.020000,1,MovingAverageCrossStrategy,9,999125.280000,1000025.910000
134,1700000184,1144,1000142,BID,100.070000,1,MovingAverageCrossStrategy,10,999025.210000,1000025.910000
135,1700000186,1033,1000143,ASK,100.300000,2,MovingAverageCrossStrategy,8,999225.810000,1000028.210000
136,1700000187,1033,1000144,ASK,100.300000,2,MovingAverageCrossStrategy,6,999426.410000,1000028.210000
137,1700000188,1144,1000145,BID,100.070000,2,MovingAverageCrossStrategy,8,999226.270000,1000026.830000
138,1700000189,1144,1000146,BID,100.070000,2,MovingAverageCrossStrategy,10,999026.130000,1000026.830000
139,1700000191,1155,1000147,ASK,100.410000,2,MovingAverageCrossStrategy,8,999226.950000,1000030.230000
140,1700000192,1144,1000148,BID,100.070000,2,MovingAverageCrossStrategy,10,999026.810000,1000027.510000
141,1700000193,1157,1000149,ASK,100.460000,2,MovingAverageCrossStrategy,8,999227.730000,1000031.410000
142,1700000194,1144,1000150,BID,100.070000,1,MovingAverageCrossStrategy,9,999127.660000,1000028.380000
143,1700000194,1140,1000150,BID,100.080000,1,MovingAverageCrossStrategy,10,999027.580000,1000028.380000
144,1700000196,1157,1000151,ASK,100.460000,2,MovingAverageCrossStrategy,8,999228.500000,1000032.180000
145,1700000197,1140,1000152,BID,100.080000,2,MovingAverageCrossStrategy,10,999028.340000,1000029.140000
146,1700000198,1157,1000153,ASK,100.460000,1,MovingAverageCrossStrategy,9,999128.800000,1000032.580000
147,1700000198,1159,1000153,ASK,100.420000,1,MovingAverageCrossStrategy,8,999229.220000,1000032.580000
148,1700000199,1140,1000154,BID,100.080000,2,MovingAverageCrossStrategy,10,999029.060000,1000029.860000
149,1700000201,1159,1000155,ASK,100.420000,2,MovingAverageCrossStrategy,8,999229.900000,1000033.260000
150,1700000202,1140,1000156,BID,100.080000,1,MovingAverageCrossStrategy,9,999129.820000,1000030.720000
151,1700000202,1088,1000156,BID,100.100000,1,MovingAverageCrossStrategy,10,999029.720000,1000030.720000
152,1700000203,1159,1000157,ASK,100.420000,2,MovingAverageCrossStrategy,8,999230.560000,1000033.920000
